,date,text
52,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> fredag har sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> opfordret alle aarhusianere til at følge anbefalingerne. »Udviklingen i Aarhus Kommune kalder på konsekvent handling. Derfor sætter vi massivt ind med lokale tiltag, så udviklingen kan vendes </div>"
53,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> at søge hen i det gode vejr. Fredag blev mundbind så et krav i al offentlig transport i kommunen, mens sundhedsminister <b>Magnus</b> <b>Heunicke</b> opfordrede til, at der »i videst muligt omfang« arbejdes hjemmefra, ligesom det anbefales at begrænse </div>"
54,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc""> på bussen?« spørger han. Alle dele af samfundet Nyheden om mundbind i Aarhus Kommune tikkede ind fredag kl. 14 i et brev fra sundhedsminister <b>Magnus</b> <b>Heunicke</b> til Folketingets partier. Hidtil har mundbind i busser og tog kun været en anbefaling </div>"
55,"<span class=""artDateTime"">07.08.2020</span>","<div class=""artDesc"">Der indføres krav om mundbind i al offentlig transport i Aarhus fra næste uge af. Det sker som konsekvens af en stigende coronasmitte i byen. Det står fast efter et møde fredag mellem sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) og de øvrige </div>"
56,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc""> klinikker som alternativ til almene praksisser. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> erkender i et skriftligt svar til Jyllands-Posten, at det fortsat er »et alvorligt og akut problem, når man ikke kan tiltrække praktiserende læger til yderområder </div>"
57,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc""> »Regeringen mener ikke, at det på nuværende tidspunkt er rigtigt at hæve forsamlingsforbuddet fra 100 til 200. Vi har netop inddelt åbningen i faser, for at vi forud for hver faseovergang kan tage bestik af situationen,« siger sundhedsminister <b>Magnus</b> </div>"
58,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc"">"". Og det er altså nu blevet tilfældet. Ifølge sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) handler det om at bevare kontrollen med coronavirus. - Epidemien tager til globalt og flere steder i Europa, og den seneste tid har vi set en stigning i antallet </div>"
59,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc""> på daværende tidspunkt var meget presset. Situationen endte med en næse til udenrigsminister Jeppe Kofod (S), forsvarsminister Trine Bramsen (S) og sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S), da det kom frem, at respiratorerne var ubrugelige </div>"
60,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc""> om mundbind fylder en del i coronadebatten i disse dage. SF - et andet støtteparti - vil drøfte en forsøgsordning med gratis udlevering af mundbind med sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S). - Hvis flere beskytter sig med mundbind, kan </div>"
61,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc"">Det skal ikke være ens pengepung, der afgør, om man kan beskytte sig med mundbind, når man kører med offentlig transport. Derfor vil SF drøfte en forsøgsordning med gratis udlevering af mundbind med sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S </div>"
62,"<span class=""artDateTime"">06.08.2020</span>","<div class=""artDesc""> <b>Magnus</b> <b>Heunicke</b>. »Jeg er et stort spørgsmålstegn. Hvis man mener, det er farligt at åbne natteliv, og generelt er bekymret for større arrangementer, så vil jeg også være bekymret for at lempe forsamlingsforbuddet,« siger hun. Hos De Konservative </div>"
63,"<span class=""artDateTime"">05.08.2020</span>","<div class=""artDesc""> genåbningen af bl.a. natklubber. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> har gjort det klart, at regeringen følger myndighedernes anbefalinger. tool_DW_kort_corona-antal-smittede-EUROPA </div>"
